word,type,type_2
aapa,two-syllable,hauska
aatra,two-syllable,hauska
aava,two-syllable,hauska
afta,two-syllable,hauska
ahma,two-syllable,hauska
aisa,two-syllable,hauska
aita,two-syllable,hauska
aitta,two-syllable,hauska
akka,two-syllable,hauska
ala,two-syllable,hauska
alba,two-syllable,hauska
alfa,two-syllable,hauska
ambra,two-syllable,hauska
ankka,two-syllable,hauska
ansa,two-syllable,hauska
arka,two-syllable,hauska
arpa,two-syllable,hauska
astma,two-syllable,hauska
aula,two-syllable,hauska
auma,two-syllable,hauska
aura,two-syllable,hauska
baana,two-syllable,hauska
baba,two-syllable,hauska
balsa,two-syllable,hauska
beeta,two-syllable,hauska
bemba,two-syllable,hauska
bensa,two-syllable,hauska
bilsa,two-syllable,hauska
boa,two-syllable,koira
bulla,two-syllable,koira
data,two-syllable,hauska
delta,two-syllable,hauska
dia,two-syllable,hauska
diiva,two-syllable,hauska
donna,two-syllable,koira
dorka,two-syllable,koira
draama,two-syllable,hauska
drakma,two-syllable,hauska
dreija,two-syllable,hauska
durra,two-syllable,koira
duuma,two-syllable,koira
ehta,two-syllable,hauska
eka,two-syllable,hauska
faija,two-syllable,hauska
fakta,two-syllable,hauska
fauna,two-syllable,hauska
feta,two-syllable,hauska
fiba,two-syllable,hauska
floora,two-syllable,koira
flunssa,two-syllable,koira
fokka,two-syllable,koira
fuuga,two-syllable,koira
fyrkka,two-syllable,koira
gamma,two-syllable,hauska
gimma,two-syllable,hauska
gouda,two-syllable,koira
gramma,two-syllable,hauska
haahka,two-syllable,hauska
haapa,two-syllable,hauska
haara,two-syllable,hauska
haaska,two-syllable,hauska
haava,two-syllable,hauska
haima,two-syllable,hauska
haitta,two-syllable,hauska
haka,two-syllable,hauska
halla,two-syllable,hauska
halma,two-syllable,hauska
halpa,two-syllable,hauska
halva,two-syllable,hauska
hana,two-syllable,hauska
hanka,two-syllable,hauska
hansa,two-syllable,hauska
hanska,two-syllable,hauska
hara,two-syllable,hauska
harha,two-syllable,hauska
harja,two-syllable,hauska
harmaa,two-syllable,koira
harva,two-syllable,hauska
haukka,two-syllable,hauska
haura,two-syllable,hauska
hauska,two-syllable,hauska
hauta,two-syllable,hauska
hauva,two-syllable,hauska
heila,two-syllable,hauska
hela,two-syllable,hauska
hella,two-syllable,hauska
helma,two-syllable,hauska
heltta,two-syllable,hauska
henna,two-syllable,hauska
heppa,two-syllable,hauska
hera,two-syllable,hauska
herja,two-syllable,hauska
hertta,two-syllable,hauska
hiekka,two-syllable,hauska
hieta,two-syllable,hauska
hiha,two-syllable,hauska
hihna,two-syllable,hauska
hiippa,two-syllable,hauska
hiiva,two-syllable,hauska
hikka,two-syllable,hauska
hila,two-syllable,hauska
hilkka,two-syllable,hauska
hilla,two-syllable,hauska
hima,two-syllable,hauska
hinta,two-syllable,hauska
hippa,two-syllable,hauska
hissa,two-syllable,hauska
hiukka,two-syllable,hauska
hoikka,two-syllable,koira
hoiva,two-syllable,koira
homma,two-syllable,koira
honka,two-syllable,koira
horkka,two-syllable,koira
horsma,two-syllable,koira
houkka,two-syllable,koira
huhta,two-syllable,koira
huikka,two-syllable,koira
huiska,two-syllable,koira
hukka,two-syllable,koira
hula,two-syllable,koira
humma,two-syllable,koira
humppa,two-syllable,koira
huopa,two-syllable,koira
huora,two-syllable,koira
huotra,two-syllable,koira
hupa,two-syllable,koira
hurja,two-syllable,koira
hurma,two-syllable,koira
hurraa,two-syllable,koira
hurtta,two-syllable,koira
huuhaa,two-syllable,koira
huuma,two-syllable,koira
ihra,two-syllable,hauska
ilma,two-syllable,hauska
ilta,two-syllable,hauska
inka,two-syllable,hauska
iva,two-syllable,hauska
jaala,two-syllable,hauska
jaava,two-syllable,hauska
jalka,two-syllable,hauska
jana,two-syllable,hauska
jata,two-syllable,hauska
jemma,two-syllable,hauska
jenka,two-syllable,hauska
jenkka,two-syllable,hauska
jolla,two-syllable,koira
jolma,two-syllable,koira
jooga,two-syllable,koira
juhla,two-syllable,koira
juhta,two-syllable,koira
jukka,two-syllable,koira
julma,two-syllable,koira
jumppa,two-syllable,koira
juna,two-syllable,koira
juntta,two-syllable,koira
juoma,two-syllable,koira
juova,two-syllable,koira
kaara,two-syllable,hauska
kaarna,two-syllable,hauska
kaava,two-syllable,hauska
kahva,two-syllable,hauska
kaima,two-syllable,hauska
kaira,two-syllable,hauska
kaisla,two-syllable,hauska
kaista,two-syllable,hauska
kaita,two-syllable,hauska
kakka,two-syllable,hauska
kala,two-syllable,hauska
kalja,two-syllable,hauska
kalla,two-syllable,hauska
kalma,two-syllable,hauska
kalpa,two-syllable,hauska
kalsa,two-syllable,hauska
kama,two-syllable,hauska
kampa,two-syllable,hauska
kana,two-syllable,hauska
kanna,two-syllable,hauska
kansa,two-syllable,hauska
kappa,two-syllable,hauska
kara,two-syllable,hauska
karja,two-syllable,hauska
karma,two-syllable,hauska
karsta,two-syllable,hauska
kartta,two-syllable,hauska
karva,two-syllable,hauska
kasa,two-syllable,hauska
kassa,two-syllable,hauska
katka,two-syllable,hauska
kauha,two-syllable,hauska
kaula,two-syllable,hauska
kauppa,two-syllable,hauska
kaura,two-syllable,hauska
keija,two-syllable,hauska
keikka,two-syllable,hauska
keila,two-syllable,hauska
kela,two-syllable,hauska
kelkka,two-syllable,hauska
kelta,two-syllable,hauska
kera,two-syllable,hauska
kerma,two-syllable,hauska
kersa,two-syllable,hauska
kerska,two-syllable,hauska
kerta,two-syllable,hauska
keula,two-syllable,hauska
kiila,two-syllable,hauska
kiima,two-syllable,hauska
kiina,two-syllable,hauska
kiista,two-syllable,hauska
kikka,two-syllable,hauska
kilkka,two-syllable,hauska
kilpa,two-syllable,hauska
kilsa,two-syllable,hauska
kilta,two-syllable,hauska
kimma,two-syllable,hauska
kimppa,two-syllable,hauska
kina,two-syllable,hauska
kirja,two-syllable,hauska
kirppa,two-syllable,hauska
kirva,two-syllable,hauska
kisa,two-syllable,hauska
kiska,two-syllable,hauska
kissa,two-syllable,hauska
kita,two-syllable,hauska
kitka,two-syllable,hauska
kiusa,two-syllable,hauska
kiva,two-syllable,hauska
klaava,two-syllable,hauska
kobra,two-syllable,koira
kohta,two-syllable,koira
koira,two-syllable,koira
koisa,two-syllable,koira
kokka,two-syllable,koira
kola,two-syllable,koira
kolja,two-syllable,koira
kolkka,two-syllable,koira
koltta,two-syllable,koira
kompa,two-syllable,koira
konkka,two-syllable,koira
konna,two-syllable,koira
kooma,two-syllable,koira
kopla,two-syllable,koira
koppa,two-syllable,koira
kopra,two-syllable,koira
korska,two-syllable,koira
korva,two-syllable,koira
kota,two-syllable,koira
kotka,two-syllable,koira
kotsa,two-syllable,koira
kotva,two-syllable,koira
koura,two-syllable,koira
kova,two-syllable,koira
kraana,two-syllable,hauska
kreikka,two-syllable,hauska
kremppa,two-syllable,hauska
kroppa,two-syllable,koira
kruuna,two-syllable,koira
krypta,two-syllable,hauska
kuikka,two-syllable,koira
kuisma,two-syllable,koira
kuiva,two-syllable,koira
kuja,two-syllable,koira
kukka,two-syllable,koira
kuksa,two-syllable,koira
kulma,two-syllable,koira
kulta,two-syllable,koira
kumma,two-syllable,koira
kuntta,two-syllable,koira
kuokka,two-syllable,koira
kuola,two-syllable,koira
kuona,two-syllable,koira
kuoppa,two-syllable,koira
kuorma,two-syllable,koira
kupla,two-syllable,koira
kuppa,two-syllable,koira
kura,two-syllable,koira
kurja,two-syllable,koira
kurppa,two-syllable,koira
kurva,two-syllable,koira
kutka,two-syllable,koira
kuula,two-syllable,koira
kuuma,two-syllable,koira
kuuppa,two-syllable,koira
kuura,two-syllable,koira
kuurna,two-syllable,koira
kuva,two-syllable,koira
kysta,two-syllable,hauska
laaja,two-syllable,hauska
laama,two-syllable,hauska
laatta,two-syllable,hauska
laava,two-syllable,hauska
lafka,two-syllable,hauska
lahja,two-syllable,hauska
lahna,two-syllable,hauska
laiha,two-syllable,hauska
laikka,two-syllable,hauska
laina,two-syllable,hauska
laippa,two-syllable,hauska
laiska,two-syllable,hauska
laiva,two-syllable,hauska
lakka,two-syllable,hauska
lama,two-syllable,hauska
lana,two-syllable,hauska
lanka,two-syllable,hauska
lanta,two-syllable,hauska
lapa,two-syllable,hauska
latva,two-syllable,hauska
lauha,two-syllable,hauska
laukka,two-syllable,hauska
lauma,two-syllable,hauska
lauta,two-syllable,hauska
lautta,two-syllable,hauska
lava,two-syllable,hauska
leffa,two-syllable,hauska
leija,two-syllable,hauska
leima,two-syllable,hauska
leka,two-syllable,hauska
lepra,two-syllable,hauska
letka,two-syllable,hauska
leuka,two-syllable,hauska
lieka,two-syllable,hauska
lieska,two-syllable,hauska
liesma,two-syllable,hauska
liha,two-syllable,hauska
liiga,two-syllable,hauska
liika,two-syllable,hauska
liila,two-syllable,hauska
liima,two-syllable,hauska
liina,two-syllable,hauska
liippa,two-syllable,hauska
liira,two-syllable,hauska
lika,two-syllable,hauska
likka,two-syllable,hauska
liksa,two-syllable,hauska
lila,two-syllable,hauska
lilja,two-syllable,hauska
lima,two-syllable,hauska
limsa,two-syllable,hauska
linja,two-syllable,hauska
linna,two-syllable,hauska
lippa,two-syllable,hauska
lista,two-syllable,hauska
litra,two-syllable,hauska
liuska,two-syllable,hauska
liuta,two-syllable,hauska
loikka,two-syllable,koira
loiva,two-syllable,koira
loka,two-syllable,koira
loma,two-syllable,koira
lompsa,two-syllable,koira
lonka,two-syllable,koira
lonkka,two-syllable,koira
loota,two-syllable,koira
loska,two-syllable,koira
lotja,two-syllable,koira
lotta,two-syllable,koira
luhta,two-syllable,koira
luikka,two-syllable,koira
luiska,two-syllable,koira
luja,two-syllable,koira
lulla,two-syllable,koira
luntta,two-syllable,koira
luoja,two-syllable,koira
luokka,two-syllable,koira
luola,two-syllable,koira
luoma,two-syllable,koira
luotta,two-syllable,koira
luova,two-syllable,koira
lupa,two-syllable,koira
lutka,two-syllable,koira
luuska,two-syllable,koira
luuta,two-syllable,koira
lymfa,two-syllable,hauska
lyyra,two-syllable,hauska
magma,two-syllable,hauska
magna,two-syllable,hauska
maha,two-syllable,hauska
mahla,two-syllable,hauska
maija,two-syllable,hauska
maikka,two-syllable,hauska
maila,two-syllable,hauska
maja,two-syllable,hauska
maksa,two-syllable,hauska
malja,two-syllable,hauska
malka,two-syllable,hauska
maltsa,two-syllable,hauska
malva,two-syllable,hauska
mamba,two-syllable,hauska
mamma,two-syllable,hauska
mana,two-syllable,hauska
mankka,two-syllable,hauska
manna,two-syllable,hauska
mantra,two-syllable,hauska
marja,two-syllable,hauska
markka,two-syllable,hauska
massa,two-syllable,hauska
matka,two-syllable,hauska
matta,two-syllable,hauska
mela,two-syllable,hauska
merta,two-syllable,hauska
mesta,two-syllable,hauska
miekka,two-syllable,hauska
miikka,two-syllable,hauska
miina,two-syllable,hauska
mirha,two-syllable,hauska
mitra,two-syllable,hauska
mitta,two-syllable,hauska
moka,two-syllable,koira
mokka,two-syllable,koira
moska,two-syllable,koira
moukka,two-syllable,koira
muija,two-syllable,koira
multa,two-syllable,koira
muna,two-syllable,koira
muona,two-syllable,koira
mura,two-syllable,koira
murha,two-syllable,koira
murska,two-syllable,koira
musa,two-syllable,koira
musta,two-syllable,koira
muta,two-syllable,koira
mutka,two-syllable,koira
muura,two-syllable,koira
muusa,two-syllable,koira
myrha,two-syllable,koira
naakka,two-syllable,hauska
naama,two-syllable,hauska
naara,two-syllable,hauska
naava,two-syllable,hauska
nafta,two-syllable,hauska
nahka,two-syllable,hauska
napa,two-syllable,hauska
nappa,two-syllable,hauska
nasta,two-syllable,hauska
nata,two-syllable,hauska
natsa,two-syllable,hauska
nauha,two-syllable,hauska
naula,two-syllable,hauska
nauta,two-syllable,hauska
nega,two-syllable,hauska
neula,two-syllable,hauska
neva,two-syllable,hauska
nila,two-syllable,hauska
nilkka,two-syllable,hauska
nippa,two-syllable,hauska
niska,two-syllable,hauska
niukka,two-syllable,hauska
niva,two-syllable,hauska
noita,two-syllable,koira
noja,two-syllable,koira
nokka,two-syllable,koira
nolla,two-syllable,koira
noppa,two-syllable,koira
nopsa,two-syllable,koira
norja,two-syllable,koira
norppa,two-syllable,koira
nova,two-syllable,koira
nugaa,two-syllable,koira
nuha,two-syllable,koira
nuija,two-syllable,koira
nuiva,two-syllable,koira
nukka,two-syllable,koira
nunna,two-syllable,koira
nuora,two-syllable,koira
nuoska,two-syllable,koira
nuotta,two-syllable,koira
nurja,two-syllable,koira
nurkka,two-syllable,koira
nuuka,two-syllable,koira
nuuska,two-syllable,koira
ohja,two-syllable,koira
ohra,two-syllable,koira
oiva,two-syllable,koira
oja,two-syllable,koira
okra,two-syllable,koira
oksa,two-syllable,koira
olka,two-syllable,koira
oma,two-syllable,koira
ora,two-syllable,koira
orja,two-syllable,koira
osa,two-syllable,koira
ota,two-syllable,koira
otsa,two-syllable,koira
paappa,two-syllable,hauska
paarma,two-syllable,hauska
paha,two-syllable,hauska
pahka,two-syllable,hauska
pahna,two-syllable,hauska
paikka,two-syllable,hauska
paita,two-syllable,hauska
paja,two-syllable,hauska
pakka,two-syllable,hauska
pala,two-syllable,hauska
palkka,two-syllable,hauska
palsa,two-syllable,hauska
palsta,two-syllable,hauska
pampa,two-syllable,hauska
panda,two-syllable,hauska
panna,two-syllable,hauska
panta,two-syllable,hauska
pappa,two-syllable,hauska
para,two-syllable,hauska
parka,two-syllable,hauska
parsa,two-syllable,hauska
parta,two-syllable,hauska
pasha,two-syllable,hauska
paska,two-syllable,hauska
pasma,two-syllable,hauska
pasta,two-syllable,hauska
pata,two-syllable,hauska
patja,two-syllable,hauska
paula,two-syllable,hauska
pauna,two-syllable,hauska
peeaa,two-syllable,koira
peffa,two-syllable,hauska
pehva,two-syllable,hauska
pekka,two-syllable,hauska
pelkka,two-syllable,hauska
penkka,two-syllable,hauska
penska,two-syllable,hauska
perna,two-syllable,koira
peura,two-syllable,hauska
piena,two-syllable,hauska
piha,two-syllable,hauska
pihka,two-syllable,hauska
pihta,two-syllable,hauska
piika,two-syllable,hauska
piimaa,two-syllable,koira
piina,two-syllable,hauska
piiska,two-syllable,hauska
piispa,two-syllable,hauska
pila,two-syllable,hauska
pilkka,two-syllable,hauska
pinja,two-syllable,hauska
pinkka,two-syllable,hauska
pinna,two-syllable,hauska
pinta,two-syllable,hauska
pirta,two-syllable,hauska
pissa,two-syllable,hauska
pitsa,two-syllable,hauska
piuha,two-syllable,hauska
piukka,two-syllable,hauska
pizza,two-syllable,hauska
plasma,two-syllable,hauska
plektra,two-syllable,hauska
plussa,two-syllable,koira
pohja,two-syllable,koira
poka,two-syllable,koira
pokka,two-syllable,koira
polkka,two-syllable,koira
polla,two-syllable,koira
pomppa,two-syllable,koira
poppa,two-syllable,koira
pora,two-syllable,koira
porkka,two-syllable,koira
potka,two-syllable,koira
potra,two-syllable,koira
potta,two-syllable,koira
pouta,two-syllable,koira
pressa,two-syllable,hauska
priima,two-syllable,hauska
prikka,two-syllable,hauska
prisma,two-syllable,hauska
proffa,two-syllable,koira
proosa,two-syllable,koira
prossa,two-syllable,koira
puija,two-syllable,koira
pula,two-syllable,koira
pulja,two-syllable,koira
pulkka,two-syllable,koira
pulla,two-syllable,koira
pulma,two-syllable,koira
pulska,two-syllable,koira
puna,two-syllable,koira
punka,two-syllable,koira
punkka,two-syllable,koira
punta,two-syllable,koira
puola,two-syllable,hauska
purkka,two-syllable,koira
puska,two-syllable,koira
pusta,two-syllable,koira
putka,two-syllable,koira
puuha,two-syllable,koira
puuma,two-syllable,koira
puuska,two-syllable,koira
raaja,two-syllable,hauska
raaka,two-syllable,hauska
raana,two-syllable,hauska
raappa,two-syllable,hauska
rafla,two-syllable,hauska
raha,two-syllable,hauska
rahka,two-syllable,hauska
rahna,two-syllable,hauska
raina,two-syllable,hauska
raippa,two-syllable,hauska
raita,two-syllable,hauska
raja,two-syllable,hauska
rakka,two-syllable,hauska
raksa,two-syllable,hauska
rampa,two-syllable,hauska
ranka,two-syllable,hauska
rankka,two-syllable,hauska
ranta,two-syllable,hauska
rapa,two-syllable,hauska
rasta,two-syllable,hauska
rasva,two-syllable,hauska
rata,two-syllable,hauska
rauha,two-syllable,hauska
raukka,two-syllable,hauska
rauta,two-syllable,hauska
reima,two-syllable,hauska
rekka,two-syllable,hauska
respa,two-syllable,hauska
reuhka,two-syllable,hauska
reuma,two-syllable,hauska
reuna,two-syllable,hauska
rieha,two-syllable,hauska
riena,two-syllable,hauska
riesa,two-syllable,hauska
rieska,two-syllable,hauska
rihla,two-syllable,hauska
rihma,two-syllable,hauska
riippa,two-syllable,hauska
riista,two-syllable,hauska
riita,two-syllable,hauska
rikka,two-syllable,hauska
riksa,two-syllable,hauska
rima,two-syllable,hauska
rinkka,two-syllable,hauska
rinta,two-syllable,hauska
ripa,two-syllable,hauska
risa,two-syllable,hauska
rita,two-syllable,hauska
ritsa,two-syllable,hauska
ritva,two-syllable,hauska
riuna,two-syllable,hauska
riutta,two-syllable,hauska
roikka,two-syllable,koira
roima,two-syllable,koira
roina,two-syllable,koira
rokka,two-syllable,koira
roosa,two-syllable,koira
roska,two-syllable,koira
rotta,two-syllable,koira
routa,two-syllable,koira
rouva,two-syllable,koira
rulla,two-syllable,koira
ruma,two-syllable,koira
rumba,two-syllable,koira
ruoja,two-syllable,koira
ruoska,two-syllable,koira
rupla,two-syllable,koira
ruska,two-syllable,koira
rutka,two-syllable,koira
ruuma,two-syllable,koira
ruuna,two-syllable,koira
saaga,two-syllable,hauska
saaja,two-syllable,koira
saarna,two-syllable,hauska
saasta,two-syllable,hauska
sabra,two-syllable,hauska
safka,two-syllable,hauska
saha,two-syllable,hauska
sahra,two-syllable,hauska
saikka,two-syllable,hauska
saita,two-syllable,hauska
sakka,two-syllable,hauska
saksa,two-syllable,hauska
sala,two-syllable,hauska
salpa,two-syllable,hauska
salsa,two-syllable,hauska
salva,two-syllable,hauska
samba,two-syllable,hauska
sanka,two-syllable,hauska
sankka,two-syllable,hauska
sara,two-syllable,hauska
sarja,two-syllable,hauska
sarka,two-syllable,hauska
sata,two-syllable,hauska
sauma,two-syllable,hauska
sauna,two-syllable,hauska
sauva,two-syllable,hauska
seepra,two-syllable,hauska
seikka,two-syllable,hauska
seiska,two-syllable,hauska
seita,two-syllable,hauska
sekka,two-syllable,hauska
selja,two-syllable,hauska
sembra,two-syllable,hauska
senkka,two-syllable,hauska
seula,two-syllable,hauska
seura,two-syllable,hauska
shona,two-syllable,koira
siesta,two-syllable,hauska
sigma,two-syllable,hauska
siika,two-syllable,hauska
siima,two-syllable,hauska
siippa,two-syllable,hauska
siira,two-syllable,hauska
sija,two-syllable,hauska
sika,two-syllable,hauska
silkka,two-syllable,hauska
silla,two-syllable,hauska
silsa,two-syllable,hauska
silta,two-syllable,hauska
sima,two-syllable,hauska
sirkka,two-syllable,hauska
sitra,two-syllable,hauska
skaala,two-syllable,hauska
skeema,two-syllable,hauska
skeida,two-syllable,hauska
sohva,two-syllable,koira
soija,two-syllable,koira
sokka,two-syllable,koira
sola,two-syllable,koira
soma,two-syllable,koira
sompa,two-syllable,koira
sonta,two-syllable,koira
sontsa,two-syllable,koira
sooda,two-syllable,koira
sooma,two-syllable,koira
soopa,two-syllable,koira
sopa,two-syllable,koira
soppa,two-syllable,koira
sora,two-syllable,koira
sorja,two-syllable,koira
sorkka,two-syllable,koira
sorsa,two-syllable,koira
sorva,two-syllable,koira
sota,two-syllable,koira
sotka,two-syllable,koira
soukka,two-syllable,koira
sperma,two-syllable,hauska
spora,two-syllable,koira
stemma,two-syllable,hauska
stigma,two-syllable,hauska
stoola,two-syllable,koira
struuma,two-syllable,koira
suikka,two-syllable,koira
suka,two-syllable,koira
sukka,two-syllable,koira
suklaa,two-syllable,koira
sula,two-syllable,koira
sulfa,two-syllable,koira
sulka,two-syllable,koira
suma,two-syllable,koira
summa,two-syllable,koira
sunna,two-syllable,koira
suoja,two-syllable,koira
suola,two-syllable,hauska
suopa,two-syllable,koira
suora,two-syllable,koira
suova,two-syllable,koira
suppa,two-syllable,koira
surma,two-syllable,koira
suula,two-syllable,koira
suunta,two-syllable,koira
suura,two-syllable,koira
taaja,two-syllable,hauska
taakka,two-syllable,hauska
taala,two-syllable,hauska
taara,two-syllable,hauska
tahna,two-syllable,hauska
tahra,two-syllable,hauska
taiga,two-syllable,hauska
taika,two-syllable,hauska
taka,two-syllable,hauska
takka,two-syllable,hauska
taksa,two-syllable,hauska
talja,two-syllable,hauska
talla,two-syllable,hauska
taltta,two-syllable,hauska
tamma,two-syllable,hauska
tanka,two-syllable,hauska
tanska,two-syllable,hauska
tapa,two-syllable,hauska
tarha,two-syllable,hauska
tarkka,two-syllable,hauska
tarra,two-syllable,hauska
tatska,two-syllable,hauska
tauhka,two-syllable,hauska
taula,two-syllable,hauska
tausta,two-syllable,hauska
teema,two-syllable,hauska
tela,two-syllable,hauska
teltta,two-syllable,hauska
terska,two-syllable,hauska
terva,two-syllable,hauska
tesla,two-syllable,hauska
tesma,two-syllable,hauska
tetra,two-syllable,hauska
tiera,two-syllable,hauska
tiima,two-syllable,hauska
tiira,two-syllable,hauska
tikka,two-syllable,hauska
tila,two-syllable,hauska
tilkka,two-syllable,hauska
tilsa,two-syllable,hauska
tippa,two-syllable,hauska
tiuha,two-syllable,hauska
tiukka,two-syllable,hauska
toka,two-syllable,koira
tokka,two-syllable,koira
tola,two-syllable,koira
tolppa,two-syllable,koira
tonkka,two-syllable,koira
tooga,two-syllable,koira
toora,two-syllable,koira
toosa,two-syllable,koira
toppa,two-syllable,koira
tora,two-syllable,koira
torppa,two-syllable,koira
toukka,two-syllable,koira
tratta,two-syllable,hauska
trauma,two-syllable,hauska
treema,two-syllable,hauska
troikka,two-syllable,koira
tuhka,two-syllable,koira
tuhma,two-syllable,koira
tuija,two-syllable,koira
tukka,two-syllable,koira
tulkka,two-syllable,koira
tulppa,two-syllable,koira
tulva,two-syllable,koira
tuma,two-syllable,koira
tumma,two-syllable,koira
tundra,two-syllable,koira
tuoja,two-syllable,koira
tupa,two-syllable,koira
tupla,two-syllable,koira
turha,two-syllable,koira
turma,two-syllable,koira
turpa,two-syllable,koira
turska,two-syllable,koira
turta,two-syllable,koira
turva,two-syllable,koira
tuska,two-syllable,koira
tutka,two-syllable,koira
tuuba,two-syllable,koira
tuuma,two-syllable,koira
tuura,two-syllable,koira
työmaa,two-syllable,koira
uhka,two-syllable,koira
uhma,two-syllable,koira
uija,two-syllable,koira
umbra,two-syllable,koira
uoma,two-syllable,koira
ura,two-syllable,koira
ussa,two-syllable,koira
usva,two-syllable,koira
uuma,two-syllable,koira
uurna,two-syllable,koira
vaaka,two-syllable,hauska
vaaksa,two-syllable,hauska
vaara,two-syllable,hauska
vaarna,two-syllable,hauska
vaha,two-syllable,hauska
vahva,two-syllable,hauska
vainaa,two-syllable,koira
vaippa,two-syllable,hauska
vaiva,two-syllable,hauska
vaja,two-syllable,hauska
vajaa,two-syllable,koira
vakaa,two-syllable,koira
vakka,two-syllable,hauska
vala,two-syllable,hauska
vamma,two-syllable,hauska
vana,two-syllable,hauska
vanha,two-syllable,hauska
vanja,two-syllable,hauska
vankka,two-syllable,hauska
vanna,two-syllable,hauska
vapa,two-syllable,hauska
vara,two-syllable,hauska
varma,two-syllable,hauska
varsa,two-syllable,hauska
varsta,two-syllable,hauska
vasa,two-syllable,hauska
vasta,two-syllable,hauska
vatja,two-syllable,hauska
vatsa,two-syllable,hauska
vauva,two-syllable,hauska
vehka,two-syllable,hauska
veikka,two-syllable,hauska
velka,two-syllable,hauska
verka,two-syllable,hauska
verta,two-syllable,hauska
vesa,two-syllable,hauska
veska,two-syllable,hauska
vessa,two-syllable,hauska
viha,two-syllable,hauska
vihma,two-syllable,hauska
vihta,two-syllable,hauska
viila,two-syllable,hauska
viima,two-syllable,hauska
viina,two-syllable,hauska
viira,two-syllable,hauska
viita,two-syllable,hauska
viitta,two-syllable,hauska
viiva,two-syllable,hauska
vika,two-syllable,hauska
vilja,two-syllable,hauska
villa,two-syllable,hauska
vimma,two-syllable,hauska
vinha,two-syllable,hauska
virka,two-syllable,hauska
virna,two-syllable,hauska
virsta,two-syllable,hauska
virta,two-syllable,hauska
virtsa,two-syllable,hauska
visa,two-syllable,hauska
visva,two-syllable,hauska
vita,two-syllable,hauska
vitja,two-syllable,hauska
vitsa,two-syllable,hauska
viuhka,two-syllable,hauska
voda,two-syllable,koira
vodka,two-syllable,koira
vohla,two-syllable,koira
voikka,two-syllable,koira
voima,two-syllable,koira
votka,two-syllable,koira